iter	RMSE
1188	18379.46408
1189	18372.66394
1190	18370.26306
1191	18365.4402
1192	18360.94954
1193	18354.88817
1194	18352.64647
1195	18351.19218
1196	18348.90378
1197	18344.06148
1198	18340.80252
1199	18335.4048
1200	18330.59051
1201	18327.39374
1202	18317.78859
1203	18312.45423
1204	18306.29717
1205	18303.41414
1206	18298.6338
1207	18295.61356
1208	18291.13619
1209	18283.95761
1210	18277.58108
1211	18273.69254
1212	18265.60999
1213	18259.9157
1214	18253.04159
1215	18249.82354
1216	18246.16485
1217	18240.48085
1218	18232.94494
1219	18226.11302
1220	18219.99506
1221	18215.36742
1222	18208.39641
1223	18201.42607
1224	18197.12633
1225	18191.5402
1226	18185.25233
1227	18179.18692
1228	18175.85394
1229	18167.58609
1230	18161.24197
1231	18155.57987
1232	18150.0371
1233	18144.23659
1234	18142.45694
1235	18136.58845
1236	18131.50749
1237	18121.90666
1238	18115.96701
1239	18113.62683
1240	18106.37626
1241	18102.58381
1242	18093.85178
1243	18088.45704
1244	18085.5644
1245	18077.89723
1246	18075.1632
1247	18071.68978
1248	18068.21098
1249	18066.241
1250	18060.34738
1251	18057.44089
1252	18054.55438
1253	18049.95925
1254	18042.35104
1255	18033.41572
1256	18029.13069
1257	18022.76839
1258	18018.59985
1259	18017.52123
1260	18012.13665
1261	18005.40236
1262	17999.4894
1263	17991.95827
1264	17984.72943
1265	17977.6178
1266	17972.29901
1267	17966.95987
1268	17962.39437
1269	17954.56453
1270	17952.16764
1271	17945.15805
1272	17939.13319
1273	17934.74506
1274	17929.44695
1275	17921.24483
1276	17915.08046
1277	17906.76597
1278	17900.68504
1279	17896.13069
1280	17890.8618
1281	17885.94186
1282	17880.96306
1283	17870.85115
1284	17864.85182
1285	17859.16457
1286	17851.85346
1287	17843.85577
1288	17840.51172
1289	17834.7942
1290	17831.12581
1291	17826.05935
1292	17819.74091
1293	17815.71792
1294	17812.57647
1295	17807.37418
1296	17799.9974
1297	17797.57478
1298	17789.3617
1299	17783.63856
1300	17779.72916
1301	17773.33042
1302	17764.88418
1303	17758.52627
1304	17754.65219
1305	17751.20646
1306	17747.56866
1307	17741.93607
1308	17737.16596
1309	17732.39626
1310	17727.59902
1311	17722.78789
1312	17721.27235
1313	17714.57844
1314	17713.68324
1315	17708.45777
1316	17702.59767
1317	17696.85886
1318	17694.68983
1319	17688.57443
1320	17682.67467
1321	17678.89692
1322	17678.29237
1323	17672.11662
1324	17665.88944
1325	17660.24998
1326	17659.32988
1327	17652.72218
1328	17644.37717
1329	17639.37675
1330	17633.03706
1331	17628.15568
1332	17621.27651
1333	17617.22239
1334	17612.89777
1335	17610.09335
1336	17603.63676
1337	17600.65807
1338	17595.54711
1339	17593.38293
1340	17591.82834
1341	17588.3235
1342	17583.21923
1343	17578.85971
1344	17574.10486
1345	17566.77079
1346	17561.9469
1347	17557.02602
1348	17553.93576
1349	17545.75808
1350	17539.65178
1351	17536.72966
1352	17531.16214
1353	17526.59223
1354	17520.70256
1355	17515.90421
1356	17511.74245
1357	17505.7129
1358	17502.72259
1359	17497.28616
1360	17490.98057
1361	17486.47076
1362	17482.21508
1363	17476.30901
1364	17470.11019
1365	17465.1502
1366	17460.60374
1367	17460.59845
1368	17457.4402
1369	17452.86528
1370	17447.66736
1371	17444.41306
1372	17441.95021
1373	17437.53892
1374	17434.15954
1375	17429.60486
1376	17422.50956
1377	17415.40958
1378	17410.51594
1379	17404.71457
1380	17399.20744
1381	17397.41367
1382	17392.25359
1383	17390.18843
1384	17383.93434
1385	17380.6406
1386	17376.59094
1387	17370.91334
1388	17366.26664
1389	17361.94538
1390	17356.71025
1391	17354.53466
1392	17349.51222
1393	17346.35938
1394	17341.96742
1395	17336.1987
1396	17328.78509
1397	17327.76093
1398	17323.11371
1399	17318.72812
1400	17313.01097
1401	17308.77694
1402	17307.10303
1403	17304.47846
1404	17297.06145
1405	17292.26517
1406	17286.75366
1407	17279.89258
1408	17276.59813
1409	17270.57513
1410	17265.47297
1411	17257.97562
1412	17250.34547
1413	17243.80248
1414	17241.79383
1415	17236.2542
1416	17230.87475
1417	17226.54343
1418	17220.39439
1419	17213.58702
1420	17206.88341
1421	17202.59967
1422	17200.37532
1423	17196.05554
1424	17193.97953
1425	17188.97094
1426	17184.6443
1427	17179.28784
1428	17175.65232
1429	17171.70076
1430	17165.98886
1431	17161.55761
1432	17157.85531
1433	17155.39529
1434	17151.92044
1435	17148.37025
1436	17142.69226
1437	17137.00261
1438	17132.00298
1439	17128.48059
1440	17123.19525
1441	17117.79882
1442	17111.84126
1443	17105.66097
1444	17103.69436
1445	17101.50195
1446	17098.82274
1447	17097.01887
1448	17092.43087
1449	17086.54546
1450	17084.39717
1451	17079.24497
1452	17073.38451
1453	17069.80284
1454	17062.32876
1455	17057.36616
1456	17056.228
1457	17053.98542
1458	17052.3463
1459	17045.07621
1460	17041.91906
1461	17037.00487
1462	17030.15131
1463	17025.86068
1464	17020.74305
1465	17017.48684
1466	17013.60789
1467	17011.69512
1468	17008.28813
1469	17005.39884
1470	17000.91388
1471	16995.13825
1472	16992.76569
1473	16990.63617
1474	16988.07484
1475	16985.53214
1476	16982.73928
1477	16979.23821
1478	16974.13624
1479	16966.94189
1480	16964.29289
1481	16960.84441
1482	16959.24657
1483	16954.94894
1484	16953.31685
1485	16947.4987
1486	16943.68144
1487	16942.41525
1488	16934.68104
1489	16930.62479
1490	16927.24182
1491	16920.94015
1492	16917.33448
1493	16912.16768
1494	16909.75278
1495	16909.18349
1496	16906.63985
1497	16901.477
1498	16897.7701
1499	16895.1189
1500	16893.1221
1501	16886.97659
1502	16881.43645
1503	16879.7409
1504	16877.78206
1505	16872.43839
1506	16868.09659
1507	16863.32047
1508	16860.03476
1509	16855.25379
1510	16849.8533
1511	16843.20381
1512	16840.41746
1513	16835.51223
1514	16831.13785
1515	16824.93067
1516	16820.5668
1517	16817.74498
1518	16812.91449
1519	16810.79325
1520	16807.97994
1521	16801.41297
1522	16797.62591
1523	16792.07223
1524	16790.34604
1525	16787.54855
1526	16782.12519
1527	16780.16962
1528	16774.99019
1529	16772.52536
1530	16767.56411
1531	16765.44064
1532	16758.81451
1533	16751.2538
1534	16747.19132
1535	16741.97829
1536	16738.50127
1537	16734.3844
1538	16729.98194
1539	16727.94431
1540	16723.62246
1541	16718.62942
1542	16715.47774
1543	16714.65894
1544	16711.41729
1545	16707.37686
1546	16700.76028
1547	16699.50981
1548	16694.07944
1549	16687.80863
1550	16683.752
1551	16680.11132
1552	16674.57031
1553	16669.55158
1554	16665.7863
